,회사명,거래소코드,회계년도,산업코드,회계년월,평가일,업종코드,소속코드,상장일,상장폐지일,신용등급,감사의견코드,감사의견,산업대분류,회계년도_new
174,(주)유퍼트,60670,2009/12,032801,,,01,04,2003/06/17,2010/04/13,,DU,"계류중인 소송사건의 완전성과 추가적인 채무의 발생 가능성 등에 대한 감사범위 제한 및 유동자산을 초과하는 유동부채액이 26,256백만원 등인 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
175,(주)이롬텍,45400,2009/10,032602,,,01,04,2001/08/17,2010/02/11,,DU,"당기순손실 50,902백만원 및 총부채가 총자산을 8,895백만원 초과. 또한 자본이 전액잠식되었고, 2008년3월7일 조기상환청구된 사채 50억원 미상환. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
47,(주)코레스,8340,2009/12,032402,2009/12,2008/12/25,01,04,1992/12/29,2010/04/13,BB,DU,"영업손실 12,795백만원이 발생, 유동자산을 초과한 유동부채액이 29,313백만원, 총자산을 초과한 총부채액이 4,664백만원인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
55,(주)중앙바이오텍,15170,2009/12,032103,2009/12,2008/05/14,01,04,2000/08/24,2010/04/13,B-,DU,"유동부채가 유동자산보다 6,820백만원 초과, 누적결손금은 55,845백만원으로 자본잠식률이 143%, 유형자산의 경매진행인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
53,(주)일공공일안경콘택트,32030,2009/12,074604,2009/12,2008/06/30,01,04,1997/01/23,2010/04/13,B+,DS,"매출채권 조회 관련, 자금조달거래와 관련한 차입금 등에 대하여 충분하고 적합한 감사증거를 확보할 수 없었으며, 회사의 전반적인 회계기록의 부실로 회계감사기준에서 요구하는 감사절차를 취하지 못하였음.",07,2009
44,(주)케드콤,11050,2009/12,032604,2009/12,2009/04/27,01,04,1988/09/01,2010/07/22,CCC,DS,"부적절한 자금 인출, 인감사용 및 어음발행 행위 등 관련 내부통제제도의 중요한 취약점이 발생, 미확인 어음에 대한 감사증거를 제시 받지 못함.",03,2009
45,(주)조인에너지,4820,2009/12,074607,2009/12,2009/02/13,01,04,1990/06/04,2010/04/15,BB+,DU,"유동부채가 유동자산보다 6,534백만원 많고, 누적결손금이 65,737백만원, 만기가 경과한 금융기관 차입금 3,740백만원의 미변제 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",07,2009
185,(주)티엠,76090,2009/12,032902,,,01,04,2005/07/26,2010/04/23,,DU,"채권채무 상계약정의 실재성 미확인 등의 감사범위 제한, 대규모의 영업손실 및 당기순손실이 발생, 유동부채가 유동자산을 크게 초과하는 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
180,(주)지엔텍홀딩스,65410,2009/12,032901,,,01,04,2002/08/01,2010/05/05,,DU,"종속회사인 (주)지엔텍의 금융기관과의 당좌거래가 정지, 종속회사인 (주)지엔텍리소스가 영위하고 있는 해외자원개발사업이 진행되지 않고 있는 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
214,한국기술산업(주),8320,2009/10,032803,,,01,04,1989/09/29,2010/03/11,,DU,"당기순손실 48,716백만원 발생 및 유동부채가 유동자산을 34,372백만원 초과하고 자본잠식률이 47%임. 또한 사채 2,650백만원을 상환하지 못하였음. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
286,(주)에버리소스,20070,2009/12,074605,,,01,04,1994/12/29,2010/05/01,,DU,"사채권자의 확인 등 관련 사항에 대한 내부통제구조상 중대한 취약점 발견, 최대주주인 이철희로부터 수증받은 주권의 담보제공관련 감사범위 제한 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",07,2009
243,(주)하이스마텍,57100,2009/12,105802,,,01,04,2002/11/15,2010/05/08,,DS,"자금관련 내부통제구조의 극히 중요한 취약점과 위법사실로 자산의 손상가능성, 우발부채의 발생가능성 등의 합리적인 추정할 충분한 감사증거를 확보 할 수 없었음.",10,2009
68,(주)사이노젠,64060,2009/12,032901,2009/12,2004/08/04,01,04,2002/07/30,2010/04/13,BB-,DU,"누적결손금이 143,943백만원에 달하며, 당기말 현재 유동자산을 초과한 유동부채액이 10,385백만원인 상황 등은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
109,오페스(주),53470,2009/12,032604,,,01,04,2001/07/31,2010/05/08,,DS,"자금 관련 내부 통제구조에 극히 중요한 취약점이 발견, 우발채무의 발생가능성, 계속기업에 대한 가정 등 회사의재무제표에 미치는 영향에 대하여 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었음.",03,2009
239,(주)인젠,41630,2009/12,106201,,,01,04,2002/01/15,2010/05/08,,DS,"자금 관련 내부 통제구조에 중요한 취약점이 발견되었으며 이와 관련하여 자산의 손상가능성, 부외부채의존재여부 등에 대한 합리적인 확신을 가질수 없었음.",10,2009
238,(주)엑스로드,74140,2009/12,106201,,,01,04,2006/08/01,2010/05/08,,DS,"중요한 자금거래에 대한 내부통제의 취약점이 발견되었으며, 이로 인한 자금거래의 실직 미파악, 부채의 완전성과 우발부채의 발생가능성, 자산의 추가 손상가능성에 대해 충분적합한 감사증거를 확보할 수 없었음.",10,2009
119,(주)고제,2540,2009/12,032001,,,01,04,1989/10/12,2010/04/23,,DU,"감사인과 경영자의 의견불일치금액 19,825백만원 존재. 이를 반영하면 당기순손실 41,727백만원이며 유동부채가 유동자산을 24,645백만원 초과함. 이는 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
115,태창기업(주),7490,2009/12,031301,,,01,04,1976/12/28,2010/05/13,,DS,"자본변동표 및 현금흐름표와 현금및현금성자산 및 자기주식과 관련된 거래에 대한 자료 미제시, 특수관계자와의 중요한 자금거래에 대한 내부통제절차를 확인할 수 없었음.",03,2009
235,(주)신지소프트,78700,2009/12,105802,,,01,04,2004/10/29,2010/02/27,,DS,"회사에 의한 감사범위의 제한 때문에 채권채무 및 금융거래에 대한 조회 및 대체적 절차를 수행할 수 없었으며, 내부회계관리제도의 설계 및 운영의 효과성에 대한 검토절차를 수행할 수 없었음.",10,2009
245,제이에스(주),37110,2009/12,106201,,,01,04,2000/07/11,2010/05/01,,DS,당기 중 발행한 비은행약속어음의 사용내역 및 부채의 완전성에 대하여 확인할 수 있는 증거를 회사가 제출하지 못하였고 대체적인 방법에 의하여도 만족할 만한 결과를 얻지 못함.,10,2009
255,(주)제로원인터랙티브,69470,2009/12,106309,,,01,04,2002/11/11,2010/05/03,,DU,"내부통제제도에 대한 불확신, 음원제공서비스와 드라마 및 음반제작을 통하여 매출을 실현하였으나 주요 거래처에 대한 음원 매출이 중단 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",10,2009
166,(주)에이치비이에너지,17300,2009/12,032605,,,01,04,1995/11/10,2010/04/15,,DU,"당기매출총손실은 2,298백만원, 당기순손실은 50,398백만원, 계열회사의 처분, 취득 및 부도사유발생 등의 상황은 회사의 계속기업으로서의 존속능력에 중대한 의문을 제기함.",03,2009
259,(주)코어비트,56850,2009/12,106201,,,01,04,2001/12/20,2010/03/09,,DU,전 대표이사의 횡령 및 부외부채 등으로 인하여 발생 가능한 계속기업으로서 존속가능성에 대한 중요한 불확실성을 내포함.,10,2009
241,(주)플러스프로핏,36660,2009/06,105901,,,01,04,2000/06/15,2009/11/20,,DS,"회사에 의한 감사범위 제한으로 인해 매출채권등 계정잔액및 매출, 매입거래와 관련하여 회계감사기준에서 요구하는 감사절차를 수행할 수 없었음.",10,2009
